miRNA,KMG0071_R1
MIR4800,5.72
MIR4801,1.14
MIR4802,0
MIR4803,4.2
MIR4804,3.81
MIR483,136.55
MIR484,306.66
MIR485,17.93
MIR486-1,6985.2
MIR486-2,7054.62
MIR487A,0.76
MIR487B,0.38
MIR488,0.38
MIR489,7.63
MIR490,15.64
MIR491,11.82
MIR492,1.91
MIR493,46.15
MIR494,1.91
MIR495,0.38
MIR496,1.91
MIR497,93.45
MIR498,1.14
MIR4999,3.81
MIR499A,70.18
MIR499B,3.05
MIR5000,2.29
MIR5001,1.53
MIR5002,1.91
MIR5003,1.53
MIR5004,0.38
MIR5006,4.58
MIR5007,0.76
MIR5008,1.53
MIR5009,1.53
MIR500A,4.2
MIR500B,1.53
MIR501,6.48
MIR5010,21.36
MIR5011,2.29
MIR502,1.53
MIR503,121.67
MIR504,1.91
MIR5047,2.29
MIR505,160.96
MIR506,0.38
MIR507,1.14
MIR508,0
MIR5087,1.91
MIR5088,2.29
MIR5089,0.76
MIR509-1,1.14
MIR509-2,0.76
MIR509-3,0
MIR5090,6.48
MIR5091,1.14
MIR5092,1.14
MIR5093,6.1
MIR5094,0.38
MIR510,0
MIR5100,13.73
MIR511,1.91
MIR512-1,0.38
MIR512-2,0
MIR513A1,0.76
MIR513A2,2.67
MIR513B,1.14
MIR513C,3.05
MIR514A1,0
MIR514A2,0
MIR514A3,0
MIR514B,0.76
MIR515-1,0
MIR515-2,0
MIR516A1,0.76
MIR516A2,0
MIR516B1,0
MIR516B2,0.38
MIR517A,0.76
MIR517B,0.76
MIR517C,0.76
MIR5186,3.81
MIR5187,10.68
MIR5188,0.76
MIR5189,5.72
MIR518A1,0.38
MIR518A2,0
MIR518B,1.14
MIR518C,0.76
MIR518D,0
MIR518E,0.76
MIR518F,1.14
MIR5190,1.14
MIR5191,0
MIR5192,3.05
MIR5193,6.1
MIR5194,0.76
MIR5195,1.53
MIR5196,4.2
MIR5197,3.05
MIR519A1,0.38
MIR519A2,0.76
MIR519B,0
MIR519C,0.76
MIR519D,0.76
MIR519E,1.14
MIR520A,1.14
MIR520B,0
MIR520C,0.38
MIR520D,0.38
MIR520E,0
MIR520F,0.76
MIR520G,0
MIR520H,0.38
MIR521-1,1.14
MIR521-2,0.38
MIR522,0.76
MIR523,0
MIR524,0.76
MIR525,0.38
MIR526A1,0
MIR526A2,0.38
MIR526B,0.38
MIR527,1.14
MIR532,146.46
MIR539,0.38
MIR541,1.53
MIR542,4.2
MIR543,9.54
MIR544A,1.14
MIR544B,0.38
MIR545,15.26
MIR548A1,1.53
MIR548A2,0.76
MIR548A3,27.84
MIR548AA1,0.76
MIR548AA2,0
MIR548AB,0
MIR548AC,0
MIR548AD,5.34
MIR548AE1,0
MIR548AE2,9.15
MIR548AG1,1.53
MIR548AG2,2.29
MIR548AH,2.29
MIR548AI,0.38
MIR548AJ1,0
MIR548AJ2,0
MIR548AK,1.91
MIR548AL,4.96
MIR548AM,0
MIR548AN,1.14
MIR548AO,1.91
MIR548AP,0
MIR548AQ,0.38
MIR548AR,1.14
MIR548AS,1.53
MIR548AT,1.91
MIR548AU,6.1
MIR548AV,0.38
MIR548AW,20.21
MIR548AX,79.33
MIR548AY,0.38
MIR548AZ,0.76
MIR548B,1.53
MIR548BA,0.76
MIR548BB,0.38
MIR548C,4.96
MIR548D1,1.91
MIR548D2,5.72
MIR548E,4.96
MIR548F1,2.67
MIR548F2,0.38
MIR548F3,0
MIR548F4,0
MIR548F5,0
MIR548G,0.38
MIR548H1,0
MIR548H2,0
MIR548H3,0
MIR548H4,0
MIR548H5,0
MIR548I1,0
MIR548I2,0.38
MIR548I3,0.38
MIR548I4,0
MIR548J,108.7
MIR548K,19.07
MIR548L,12.21
MIR548M,0
MIR548N,1.14
MIR548O,4.2
MIR548O2,5.34
MIR548P,0.76
MIR548Q,17.55
MIR548S,0
MIR548T,3.05
MIR548U,1.14
MIR548V,3.43
MIR548W,0
MIR548X,0
MIR548X2,0.38
MIR548Y,0.38
MIR548Z,0.38
MIR549A,0.38
MIR550A1,5.34
MIR550A2,3.05
MIR550A3,11.44
MIR550B1,1.91
MIR550B2,1.14
MIR551A,0
MIR551B,2.29
MIR552,0.76
MIR553,0.76
MIR554,1.91
MIR555,2.67
MIR556,52.25
MIR557,1.53
MIR5571,1.14
MIR5572,0.38
MIR5579,1.14
MIR558,4.2
MIR5580,0
MIR5581,0.38
MIR5582,0
MIR5583-1,0
MIR5583-2,0.76
MIR5584,4.96
MIR5585,0.76
MIR5586,2.67
MIR5587,0.76
MIR5588,1.91
MIR5589,7.25
MIR559,0.76
MIR5590,0
MIR5591,1.53
MIR561,1.14
MIR562,0
MIR563,0.76
MIR564,15.26
MIR567,0.38
MIR568,1.14
MIR5680,1.14
MIR5681A,0
MIR5681B,0
MIR5682,0.38
MIR5683,1.14
MIR5684,8.39
MIR5685,2.67
MIR5687,1.14
MIR5688,1.14
MIR5689,1.53
MIR569,0.38
MIR5690,3.81
MIR5691,0.38
MIR5692A1,0
MIR5692A2,0
MIR5692B,0
MIR5692C1,1.53
MIR5692C2,1.14
MIR5693,1.91
MIR5694,4.58
MIR5695,24.41
MIR5696,0.76
MIR5697,3.05
MIR5698,0.38
MIR5699,4.58
MIR570,0.76
MIR5700,1.53
MIR5702,0
MIR5703,3.81
MIR5704,0
MIR5705,1.91
MIR5706,1.14
MIR5707,0.76
MIR5708,0
MIR571,0.38
MIR572,6.48
MIR573,0.76
MIR5739,1.53
MIR574,191.47
MIR575,1.14
MIR576,41.19
MIR577,1.14
MIR578,1.14
MIR5787,2.29
MIR579,4.58
MIR580,0.76
MIR581,2.67
MIR582,0.76
MIR583,1.14
MIR584,41.19
MIR585,0.76
MIR586,0
MIR587,0.38
MIR588,0.76
MIR589,41.57
MIR590,34.33
MIR591,3.81
MIR592,3.81
MIR593,1.91
MIR595,1.14
MIR596,21.74
MIR597,3.43
MIR598,1.14
MIR599,3.05
MIR600,0.76
MIR601,9.54
MIR602,0
MIR603,0.76
MIR604,0.38
MIR605,1.91
MIR606,0.38
MIR6068,0.76
MIR6069,4.2
MIR607,1.91
MIR6070,1.53
MIR6071,0.76
MIR6072,16.78
MIR6073,1.91
MIR6074,3.05
MIR6075,6.1
MIR6076,5.34
MIR6077,1.53
MIR6078,2.29
MIR6079,2.29
MIR608,2.29
MIR6080,1.53
MIR6081,1.53
MIR6082,0.38
MIR6083,1.14
MIR6084,2.29
MIR6085,1.14
MIR6086,0.38
MIR6088,1.53
MIR6089,3.81
MIR609,0.76
MIR6090,1.91
MIR610,3.81
MIR611,2.29
MIR612,3.43
MIR6124,4.96
MIR6125,7.25
MIR6126,15.26
MIR6127,4.58
MIR6128,1.14
MIR6129,1.91
MIR613,1.14
MIR6130,0.76
MIR6131,0.76
MIR6132,0.76
MIR6133,1.53
MIR6134,0.76
MIR614,0.38
MIR615,5.34
MIR616,4.58
MIR6165,1.91
MIR617,0
MIR618,1.14
MIR619,10.68
MIR620,0
MIR621,2.67
MIR622,6.1
MIR623,0.38
MIR624,5.34
MIR625,765.5
MIR626,0.38
MIR627,42.34
MIR628,45.77
MIR629,206.73
MIR630,3.43
MIR631,1.53
